#chunkFile	nFuncs
combat_chunk_000.c	3
combat_chunk_001.c	26
combat_chunk_002.c	25
combat_chunk_003.c	9
combat_chunk_004.c	23
combat_chunk_005.c	28
combat_chunk_006.c	2
