#chunkFile	nFuncs
econ_chunk_000.c	24
econ_chunk_001.c	24
econ_chunk_002.c	11
econ_chunk_003.c	14
econ_chunk_004.c	16
econ_chunk_005.c	16
econ_chunk_006.c	18
econ_chunk_007.c	7
econ_chunk_008.c	21
econ_chunk_009.c	22
econ_chunk_010.c	24
econ_chunk_011.c	23
econ_chunk_012.c	32
econ_chunk_013.c	28
econ_chunk_014.c	59
econ_chunk_015.c	38
