#rmiName	direction	class	method	handlerAddr	handlerOldName	renamed
RMI:CGameRules:SvVote	C2S	CGameRules	SvVote	10c29480	FUN_10c29480	yes
RMI:CGameRules:SvVoteNo	C2S	CGameRules	SvVoteNo	10c29510	FUN_10c29510	yes
RMI:CGameRules:SvStartVoting	C2S	CGameRules	SvStartVoting	10c295a0	FUN_10c295a0	yes
RMI:CGameRules:ClVotingStatus	S2C	CGameRules	ClVotingStatus	10c296a0	FUN_10c296a0	yes
RMI:CGameRules:ClEnteredGame	S2C	CGameRules	ClEnteredGame	10c29750	FUN_10c29750	yes
RMI:CGameRules:ClPlayerJoined	S2C	CGameRules	ClPlayerJoined	10c297e0	FUN_10c297e0	yes
RMI:CGameRules:ClPlayerLeft	S2C	CGameRules	ClPlayerLeft	10c298b0	FUN_10c298b0	yes
RMI:CHomingMissile:SvRequestDestination	C2S	CHomingMissile	SvRequestDestination	10c878d0	FUN_10c878d0	yes
RMI:CItem:ClAttachAccessory	S2C	CItem	ClAttachAccessory	10cc47b0	FUN_10cc47b0	yes
RMI:CItem:SvRequestEnterModify	C2S	CItem	SvRequestEnterModify	10cc4870	FUN_10cc4870	yes
RMI:CItem:SvRequestLeaveModify	C2S	CItem	SvRequestLeaveModify	10cc4900	FUN_10cc4900	yes
RMI:CItem:ClEnterModify	S2C	CItem	ClEnterModify	10cc4990	FUN_10cc4990	yes
RMI:CItem:ClLeaveModify	S2C	CItem	ClLeaveModify	10cc4a20	FUN_10cc4a20	yes
RMI:CMonster:SvRequestGrabOnLadder	C2S	CMonster	SvRequestGrabOnLadder	10d97480	FUN_10d97480	yes
RMI:CMonster:SvRequestLeaveLadder	C2S	CMonster	SvRequestLeaveLadder	10d975a0	FUN_10d975a0	yes
RMI:CMonster:ClGrabOnLadder	S2C	CMonster	ClGrabOnLadder	10d976c0	FUN_10d976c0	yes
RMI:CMonster:ClLeaveLadder	S2C	CMonster	ClLeaveLadder	10d977e0	FUN_10d977e0	yes
RMI:CMonster:ClAnimGraphTransition	S2C	CMonster	ClAnimGraphTransition	10d97310	FUN_10d97310	yes
RMI:CMonster:ClAnimGraphInput	S2C	CMonster	ClAnimGraphInput	10d973d0	FUN_10d973d0	yes
RMI:CMonster:SvRequestUnfreeze	C2S	CMonster	SvRequestUnfreeze	10d97900	FUN_10d97900	yes
RMI:CMonster:SvRequestHitAssistance	C2S	CMonster	SvRequestHitAssistance	10d979b0	FUN_10d979b0	yes
RMI:CMonster:ClEMP	S2C	CMonster	ClEMP	10d97a60	FUN_10d97a60	yes
RMI:CMonster:ClJump	S2C	CMonster	ClJump	10d97b10	FUN_10d97b10	yes
RMI:CMonster:SvRequestJump	C2S	CMonster	SvRequestJump	10d97bc0	FUN_10d97bc0	yes
RMI:CMonster:SvRequestParachute	C2S	CMonster	SvRequestParachute	10d97c70	FUN_10d97c70	yes
RMI:CNPC:SvRequestGrabOnLadder	C2S	CNPC	SvRequestGrabOnLadder	10ec0020	FUN_10ec0020	yes
RMI:CNPC:SvRequestLeaveLadder	C2S	CNPC	SvRequestLeaveLadder	10ec0140	FUN_10ec0140	yes
RMI:CNPC:ClGrabOnLadder	S2C	CNPC	ClGrabOnLadder	10ec0260	FUN_10ec0260	yes
RMI:CNPC:ClLeaveLadder	S2C	CNPC	ClLeaveLadder	10ec0380	FUN_10ec0380	yes
RMI:CNPC:ClAnimGraphTransition	S2C	CNPC	ClAnimGraphTransition	10ebfeb0	FUN_10ebfeb0	yes
RMI:CNPC:ClAnimGraphInput	S2C	CNPC	ClAnimGraphInput	10ebff70	FUN_10ebff70	yes
RMI:CNPC:SvRequestUnfreeze	C2S	CNPC	SvRequestUnfreeze	10ec04a0	FUN_10ec04a0	yes
RMI:CNPC:SvRequestHitAssistance	C2S	CNPC	SvRequestHitAssistance	10ec0550	FUN_10ec0550	yes
RMI:CNPC:ClEMP	S2C	CNPC	ClEMP	10ec0600	FUN_10ec0600	yes
RMI:CNPC:ClJump	S2C	CNPC	ClJump	10ec06b0	FUN_10ec06b0	yes
RMI:CNPC:SvRequestJump	C2S	CNPC	SvRequestJump	10ec0760	FUN_10ec0760	yes
RMI:CNPC:SvRequestParachute	C2S	CNPC	SvRequestParachute	10ec0810	FUN_10ec0810	yes
RMI:CPlayer:SvRequestGrabOnLadder	C2S	CPlayer	SvRequestGrabOnLadder	10f03b60	FUN_10f03b60	yes
RMI:CPlayer:SvRequestLeaveLadder	C2S	CPlayer	SvRequestLeaveLadder	10f03c80	FUN_10f03c80	yes
RMI:CPlayer:ClGrabOnLadder	S2C	CPlayer	ClGrabOnLadder	10f03da0	FUN_10f03da0	yes
RMI:CPlayer:ClLeaveLadder	S2C	CPlayer	ClLeaveLadder	10f03ec0	FUN_10f03ec0	yes
RMI:CPlayer:ClAnimGraphTransition	S2C	CPlayer	ClAnimGraphTransition	10f039f0	FUN_10f039f0	yes
RMI:CPlayer:ClAnimGraphInput	S2C	CPlayer	ClAnimGraphInput	10f03ab0	FUN_10f03ab0	yes
RMI:CPlayer:SvRequestUnfreeze	C2S	CPlayer	SvRequestUnfreeze	10f03fe0	FUN_10f03fe0	yes
RMI:CPlayer:SvRequestHitAssistance	C2S	CPlayer	SvRequestHitAssistance	10f04090	FUN_10f04090	yes
RMI:CPlayer:ClEMP	S2C	CPlayer	ClEMP	10f04140	FUN_10f04140	yes
RMI:CPlayer:ClJump	S2C	CPlayer	ClJump	10f041f0	FUN_10f041f0	yes
RMI:CPlayer:SvRequestJump	C2S	CPlayer	SvRequestJump	10f042a0	FUN_10f042a0	yes
RMI:CPlayer:SvRequestParachute	C2S	CPlayer	SvRequestParachute	10f04350	FUN_10f04350	yes
RMI:CWeapon:SvRequestStartFire	C2S	CWeapon	SvRequestStartFire	1110a040	FUN_1110a040	yes
RMI:CWeapon:SvRequestStopFire	C2S	CWeapon	SvRequestStopFire	1110a0d0	FUN_1110a0d0	yes
RMI:CWeapon:SvRequestShoot	C2S	CWeapon	SvRequestShoot	11109e70	FUN_11109e70	yes
RMI:CWeapon:SvRequestShootEx	C2S	CWeapon	SvRequestShootEx	11109f30	FUN_11109f30	yes
RMI:CWeapon:SvRequestStartMeleeAttack	C2S	CWeapon	SvRequestStartMeleeAttack	1110a160	FUN_1110a160	yes
RMI:CWeapon:SvRequestFireMode	C2S	CWeapon	SvRequestFireMode	1110a2c0	FUN_1110a2c0	yes
RMI:CWeapon:SvRequestReload	C2S	CWeapon	SvRequestReload	1110a370	FUN_1110a370	yes
RMI:CWeapon:SvRequestCancelReload	C2S	CWeapon	SvRequestCancelReload	1110a400	FUN_1110a400	yes
RMI:CWeapon:ClLock	S2C	CWeapon	ClLock	1110a490	FUN_1110a490	yes
RMI:CWeapon:ClUnlock	S2C	CWeapon	ClUnlock	1110a560	FUN_1110a560	yes
RMI:CWeapon:SvRequestLock	C2S	CWeapon	SvRequestLock	1110a6a0	FUN_1110a6a0	yes
RMI:CWeapon:SvRequestUnlock	C2S	CWeapon	SvRequestUnlock	1110a770	FUN_1110a770	yes
RMI:CWeapon:SvRequestWeaponRaised	C2S	CWeapon	SvRequestWeaponRaised	1110a8b0	FUN_1110a8b0	yes
RMI:CWeapon:SvRequestSetZoomState	C2S	CWeapon	SvRequestSetZoomState	1110a800	FUN_1110a800	yes
RMI:CWeapon:SvRequestZoom	C2S	CWeapon	SvRequestZoom	1110a210	FUN_1110a210	yes
RMI:CWeapon:ClZoom	S2C	CWeapon	ClZoom	1110a5f0	FUN_1110a5f0	yes
