#module	rmiName	direction	class	method	handlerAddr	handlerOldName	renamed
CryGame.dll	RMI:CGameRules:ClTempRadarEntity	S2C	CGameRules	ClTempRadarEntity	10c281f0	RMI_CGameRules_ClTempRadarEntity	no
CryGame.dll	RMI:CGameRules:ClAddSpawnGroup	S2C	CGameRules	ClAddSpawnGroup	10c28810	RMI_CGameRules_ClAddSpawnGroup	no
CryGame.dll	RMI:CGameRules:ClRemoveSpawnGroup	S2C	CGameRules	ClRemoveSpawnGroup	10c288c0	RMI_CGameRules_ClRemoveSpawnGroup	no
CryGame.dll	RMI:CGameRules:ClAddMinimapEntity	S2C	CGameRules	ClAddMinimapEntity	10c28970	RMI_CGameRules_ClAddMinimapEntity	no
CryGame.dll	RMI:CGameRules:ClRemoveMinimapEntity	S2C	CGameRules	ClRemoveMinimapEntity	10c28a50	RMI_CGameRules_ClRemoveMinimapEntity	no
CryGame.dll	RMI:CGameRules:ClResetMinimap	S2C	CGameRules	ClResetMinimap	10c28b00	RMI_CGameRules_ClResetMinimap	no
CryGame.dll	RMI:CGameRules:ClSetObjective	S2C	CGameRules	ClSetObjective	10c28b90	RMI_CGameRules_ClSetObjective	no
CryGame.dll	RMI:CGameRules:ClSetObjectiveStatus	S2C	CGameRules	ClSetObjectiveStatus	10c28c90	RMI_CGameRules_ClSetObjectiveStatus	no
CryGame.dll	RMI:CGameRules:ClSetObjectiveEntity	S2C	CGameRules	ClSetObjectiveEntity	10c28d70	RMI_CGameRules_ClSetObjectiveEntity	no
CryGame.dll	RMI:CGameRules:ClResetObjectives	S2C	CGameRules	ClResetObjectives	10c28e50	RMI_CGameRules_ClResetObjectives	no
CryGame.dll	RMI:CGameRules:ClHitIndicator	S2C	CGameRules	ClHitIndicator	10c28ee0	RMI_CGameRules_ClHitIndicator	no
CryGame.dll	RMI:CGameRules:ClDamageIndicator	S2C	CGameRules	ClDamageIndicator	10c28f70	RMI_CGameRules_ClDamageIndicator	no
