#dispatcher	dispSize	nCases	avgTgtSize	tinyTgtFrac	sampleTargets(addr:size:name)
10c45370	208	7	47	1.00	10c45590:41:FUN_10c45590 | 10c455f0:44:FUN_10c455f0 | 10c45650:35:FUN_10c45650 | 10c456c0:61:FUN_10c456c0 | 10c45560:41:FUN_10c45560 | 10c455c0:44:FUN_10c455c0 | 10c45680:61:FUN_10c45680
10c45700	208	7	44	1.00	10c45920:41:FUN_10c45920 | 10c45980:44:FUN_10c45980 | 10c459e0:35:FUN_10c459e0 | 10c45a50:53:FUN_10c45a50 | 10c458f0:41:FUN_10c458f0 | 10c45950:44:FUN_10c45950 | 10c45a10:53:FUN_10c45a10
10c45a90	216	8	64	1.00	10c45cf0:60:FUN_10c45cf0 | 10c45d70:63:FUN_10c45d70 | 10c45df0:66:FUN_10c45df0 | 10c45e90:71:FUN_10c45e90 | 10c45cb0:60:FUN_10c45cb0 | 10c45d30:61:FUN_10c45d30 | 10c45db0:57:FUN_10c45db0 | 10c45e40:71:FUN_10c45e40
10c45ee0	216	8	64	1.00	10c46140:60:FUN_10c46140 | 10c461c0:63:FUN_10c461c0 | 10c46240:66:FUN_10c46240 | 10c462e0:71:FUN_10c462e0 | 10c46100:60:FUN_10c46100 | 10c46180:61:FUN_10c46180 | 10c46200:57:FUN_10c46200 | 10c46290:71:FUN_10c46290
10d034b0	307	6	44	1.00	10d037a0:48:FUN_10d037a0 | 11316910:25:FUN_11316910 | 10d03770:48:FUN_10d03770 | 10d03800:48:FUN_10d03800 | 10d03740:48:FUN_10d03740 | 10d03710:48:FUN_10d03710
111f2340	406	13	100	0.62	111f1510:70:FUN_111f1510 | 111f21d0:81:FUN_111f21d0 | 11172dd0:140:FUN_11172dd0 | 111f2230:100:FUN_111f2230 | 111f2150:95:FUN_111f2150 | 111f2750:206:FUN_111f2750 | 111f29e0:142:FUN_111f29e0 | 111f2850:56:FUN_111f2850
112b9490	153	6	126	0.17	11567bd0:44:FUN_11567bd0 | 11567c00:137:FUN_11567c00 | 11567f30:246:FUN_11567f30 | 115680d0:110:FUN_115680d0 | 11567e50:101:FUN_11567e50 | 11567d60:116:FUN_11567d60
112fbc60	408	12	62	1.00	112fb8d0:55:FUN_112fb8d0 | 112fbfb0:55:FUN_112fbfb0 | 112fbbd0:55:FUN_112fbbd0 | 112fc030:58:FUN_112fc030 | 112fbf70:50:FUN_112fbf70 | 112fbb90:50:FUN_112fbb90 | 112fb890:64:FUN_112fb890 | 112fbaf0:50:FUN_112fbaf0
1148b1a0	197	6	17	1.00	1134aee0:17:FUN_1134aee0 | 1134ae00:17:FUN_1134ae00 | 1134ae40:17:FUN_1134ae40 | 1134aea0:17:FUN_1134aea0 | 1134ae20:17:FUN_1134ae20 | 1134ada0:17:FUN_1134ada0
11816430	510	6	120	0.00	118b1e90:120:FUN_118b1e90 | 118b1e10:120:FUN_118b1e10 | 118b1c10:120:FUN_118b1c10 | 118b1a10:120:FUN_118b1a10 | 118b1a90:120:FUN_118b1a90 | 118b1f90:120:FUN_118b1f90
1186eb90	460	15	125	0.27	1186f760:120:FUN_1186f760 | 118580b0:120:FUN_118580b0 | 108abc20:30:FUN_108abc20 | 11857480:312:FUN_11857480 | 11857620:312:FUN_11857620 | 11870430:67:FUN_11870430 | 1186f860:120:FUN_1186f860 | 100e2df0:56:FUN_100e2df0
11c55510	2937	11	142	0.45	11c55460:94:FUN_11c55460 | 11c58720:138:FUN_11c58720 | 11ab4210:240:FUN_11ab4210 | 11c57d90:190:FUN_11c57d90 | 11b1d2e0:93:FUN_11b1d2e0 | 11c58630:126:FUN_11c58630 | 11b1d680:226:FUN_11b1d680 | 11c58500:303:FUN_11c58500
