#opcode	name	dir	handlerAddr	handlerName
8548	S2C_CMD_GUILD_GETGUILDERSCOUNT	S2C	11a89034	_purecall
25104	C2S_CMD_SOULBEAST_EVOLVE	C2S	119f2fc0	FUN_119f2fc0
25104	C2S_CMD_SOULBEAST_EVOLVE	C2S	11a445f0	FUN_11a445f0
10272	S2C_CMD_ACTIVITY_GETWILDHUNT_RSP	S2C	11b37fb0	FUN_11b37fb0
8548	S2C_CMD_GUILD_GETGUILDERSCOUNT	S2C	10a01cc0	FUN_10a01cc0
