#opcode	name	dir	nFuncs	funcAddrs(<=3)
5672	S2C_CMD_FRIEND_SVRSUPDATE	S2C	6	10631570:FUN_10631570 | 1064c8a0:FUN_1064c8a0 | 106bd310:FUN_106bd310
5931	C2S_CMD_PET_RNG	C2S	5	10632370:FUN_10632370 | 106be710:FUN_106be710 | 11134aa0:FUN_11134aa0
5932	S2C_CMD_PET_RNG	S2C	6	106323e0:FUN_106323e0 | 106be7b0:FUN_106be7b0 | 11134b10:FUN_11134b10
5937	C2S_CMD_PET_UNLOCK_SKILL_SLOT	C2S	5	106324c0:FUN_106324c0 | 106be8f0:FUN_106be8f0 | 11134c10:FUN_11134c10
5938	S2C_CMD_PET_UNLOCK_SKILL_SLOT	S2C	6	10632530:FUN_10632530 | 106be990:FUN_106be990 | 11134c90:FUN_11134c90
6665	C2S_CMD_HUNTER_STAR_TRACK_CARD	C2S	5	10633b80:FUN_10633b80 | 106c0970:FUN_106c0970 | 11135ad0:FUN_11135ad0
6672	S2C_CMD_HUNTER_STAR_TRACK_CARD	S2C	7	101bb0f0:FUN_101bb0f0 | 10633bf0:FUN_10633bf0 | 1064e7e0:FUN_1064e7e0
6673	S2C_CMD_HUNTER_STAR_REFRESH_STAT	S2C	5	10633c60:FUN_10633c60 | 106c0ab0:FUN_106c0ab0 | 11135bd0:FUN_11135bd0
6674	C2S_CMD_ACHEIVE_FETCHREWARD	C2S	5	10633cd0:FUN_10633cd0 | 106c0b50:FUN_106c0b50 | 11135c40:FUN_11135c40
6957	S2C_CMD_MAIL_ERR	S2C	5	10634980:FUN_10634980 | 106c1d60:FUN_106c1d60 | 11136880:FUN_11136880
6959	S2C_CMD_MAIL_NOTIFY	S2C	5	10634a60:FUN_10634a60 | 106c1ea0:FUN_106c1ea0 | 11136980:FUN_11136980
8448	C2S_CMD_GUILD_CHECKGUILD	C2S	11	10422940:FUN_10422940 | 10428320:FUN_10428320 | 10431bb0:FUN_10431bb0
8449	C2S_CMD_GUILD_CREATEGUILD	C2S	6	10629ee0:FUN_10629ee0 | 1065ede0:FUN_1065ede0 | 106b29b0:FUN_106b29b0
8450	C2S_CMD_GUILD_DISMISSGUILD	C2S	5	10629f50:FUN_10629f50 | 106b2a50:FUN_106b2a50 | 111387e0:FUN_111387e0
8451	C2S_CMD_GUILD_GETGUILDS	C2S	5	10629fc0:FUN_10629fc0 | 106b2af0:FUN_106b2af0 | 11138850:FUN_11138850
8452	C2S_CMD_GUILD_FINDGUILDS	C2S	5	1062a030:FUN_1062a030 | 106b2b90:FUN_106b2b90 | 111388c0:FUN_111388c0
